CNPJ,ESPECIALIDADE,ESTABELECIMENTO
1104895000177,Americana,Restaurante
1106583000100,Brasileira,Restaurante
1107271000103,Cozinha regional | Italiana,Restaurante
1108936000101,Brasileira,Similar
1109532000124,Japonesa,Restaurante
1111671000192,Asiática | Brasileira | Japonesa,Restaurante
1114627000136,Cozinha regional | Portuguesa,Similar
1115622000128,Cozinha regional,Bar
1116583000183,Brasileira,Cafeteria
1116583000507,Brasileira,Cafeteria
1116583000850,Brasileira,Cafeteria
1117697000148,Asiática,Restaurante
1125390000199,Brasileira,Restaurante
1130168000184,Árabe,Restaurante
1130168000265,Árabe,Restaurante
1130243000107,Brasileira | Chinesa | Japonesa,Restaurante
1140187000191,Brasileira | Cozinha regional,Restaurante
1152509000112,Argentina | Brasileira | Japonesa,Bar
1157147000152,Brasileira,Restaurante
1158992000142,Brasileira,Restaurante
1159209000165,Chinesa,Restaurante
1160567000198,Brasileira,Similar
1163228000165,Brasileira,Restaurante
1165838000106,Brasileira | Cozinha regional,Restaurante
1166507000182,Brasileira | Cozinha regional,Restaurante
1167296000100,Brasileira,Restaurante
1168151000116,Brasileira | Italiana,Restaurante
1171159000131,Brasileira | Cozinha regional,Cafeteria
1171696000181,Cozinha regional | Italiana,Restaurante
1171898000123,Brasileira | Cozinha regional | Portuguesa,Similar
1173871000170,Brasileira | Cozinha regional,Restaurante
1174574000149,Brasileira | Japonesa | Árabe,Restaurante
1174650000116,Americana | Cozinha regional,Cafeteria
1178560000101,Brasileira,Restaurante
1181426000151,Portuguesa,Restaurante
1182204000153,Brasileira,Restaurante
1182300000100,Brasileira | Chinesa | Japonesa,Restaurante
1185590000137,Brasileira | Japonesa,Restaurante
1185595000240,Cozinha regional | Italiana | Portuguesa,Similar
1190924000160,Japonesa,Restaurante
1195650000100,Brasileira,Restaurante
1201692000107,Brasileira,Similar
1201906000137,Brasileira,Cafeteria
1204382000138,Brasileira,Restaurante
1206841000112,Brasileira,Restaurante
1207148000164,Brasileira | Cozinha regional,Restaurante
1209726000100,Brasileira,Restaurante
1212239000198,Brasileira | Japonesa,Restaurante
1212767000147,Italiana,Restaurante
1214127000176,Cozinha regional,Similar
1226112000128,Brasileira | Cozinha regional,Restaurante
1234635000116,Brasileira,Bar
1249282000128,Brasileira,Restaurante
1252578000106,Brasileira | Cozinha regional,Bar
1253502000197,Brasileira | Cozinha regional,Restaurante
1257318000115,Brasileira,Restaurante
1257540000118,Brasileira,Restaurante
1261392000105,Brasileira,Restaurante
1271789000188,Brasileira | Cozinha regional,Restaurante
1274292000113,Brasileira | Árabe,Cafeteria
1274475000139,Brasileira,Restaurante
1277666000154,Brasileira | Cozinha regional,Cafeteria
1278955000178,Americana | Brasileira | Cozinha regional,Restaurante
1279376000140,Brasileira | Cozinha regional | Japonesa,Restaurante
1282978000156,Brasileira,Restaurante
1285305000150,Brasileira,Restaurante
1286080000156,Brasileira,Restaurante
1286102000188,Brasileira,Similar
1286102000269,Brasileira,Similar
1286477000148,Brasileira,Bar
1287814000111,Brasileira | Cozinha regional | Italiana,Restaurante
1290917000130,Brasileira,Restaurante
1293509000132,Americana | Brasileira,Restaurante
1293509000132,Brasileira,Restaurante
1293611000138,Brasileira | Cozinha regional,Restaurante
1294161000106,Brasileira,Restaurante
1294402000109,Francesa | Italiana,Similar
1298710000102,Brasileira,Restaurante
1302605000108,Brasileira,Cafeteria
1306134000106,Brasileira,Similar
1308349000158,Brasileira,Restaurante
1311882000179,Brasileira,Cafeteria
1312996000133,Chinesa | Japonesa,Restaurante
1314630000101,Brasileira,Restaurante
1316609000137,Brasileira | Japonesa,Restaurante
